"Set1_Freq[Hz]";"Set1_Level[dBuV]";"Set2_Freq[Hz]";"Set2_Level[dBuV]";"Raw1_Freq[Hz]";"Raw1_Level[dBuV]";"Raw2_Freq[Hz]";"Raw2_Level[dBuV]";"Set1_Peaks_Nb";"Set1_Peaks_Det";"Set1_Peaks_Freq[kHz]";"Set1_Peaks_Level[dBuV]";"Set1_Peaks_Lim[dBuV]";"Set1_Remeasure_Nb";"Set1_Remeasure_Det";"Set1_Remeasure_Freq[kHz]";"Set1_Remeasure_Level[dBuV]";"Set1_Remeasure_Lim[dBuV]";"Set2_Peaks_Nb";"Set2_Peaks_Det";"Set2_Peaks_Freq[kHz]";"Set2_Peaks_Level[dBuV]";"Set2_Peaks_Lim[dBuV]";"Set2_Remeasure_Nb";"Set2_Remeasure_Det";"Set2_Remeasure_Freq[kHz]";"Set2_Remeasure_Level[dBuV]";"Set2_Remeasure_Lim[dBuV]"
"428867";"25,84";"428867";"19,27";"428867";"16,43";"428867";"9,86";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"432000";"26,15";"432000";"19,60";"432000";"16,74";"432000";"10,19";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"435133";"26,18";"435133";"18,56";"435133";"16,77";"435133";"9,15";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"438267";"25,70";"438267";"20,25";"438267";"16,29";"438267";"10,84";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"441400";"25,34";"441400";"18,81";"441400";"15,93";"441400";"9,40";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"444533";"25,69";"444533";"20,80";"444533";"16,29";"444533";"11,39";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"447667";"27,11";"447667";"22,82";"447667";"17,71";"447667";"13,42";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"450800";"27,23";"450800";"21,90";"450800";"17,83";"450800";"12,49";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"453933";"27,18";"453933";"18,62";"453933";"17,78";"453933";"9,22";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"457067";"26,11";"457067";"18,92";"457067";"16,71";"457067";"9,52";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"460200";"25,24";"460200";"19,07";"460200";"15,84";"460200";"9,67";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"463333";"25,08";"463333";"19,16";"463333";"15,68";"463333";"9,76";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"466467";"25,26";"466467";"18,89";"466467";"15,87";"466467";"9,50";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"469600";"25,65";"469600";"20,04";"469600";"16,26";"469600";"10,64";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"472733";"25,59";"472733";"18,48";"472733";"16,20";"472733";"9,08";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"475867";"25,41";"475867";"17,70";"475867";"16,02";"475867";"8,31";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"479000";"24,85";"479000";"17,35";"479000";"15,46";"479000";"7,96";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"482133";"24,22";"482133";"17,53";"482133";"14,83";"482133";"8,15";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"485267";"24,25";"485267";"18,01";"485267";"14,87";"485267";"8,62";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"488400";"26,02";"488400";"20,26";"488400";"16,63";"488400";"10,87";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"491533";"34,71";"491533";"31,63";"491533";"25,33";"491533";"22,25";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"494667";"42,33";"494667";"40,66";"494667";"32,95";"494667";"31,28";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
